epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1075.48,0.68692,0.99764,0.50014,0.93842,0.84405,0.84035,0.89589,0.72467,0.83779,0.86209,0.90494,0.62536,0.58228,0.37982,0.61274,0.93009,0.000812,0.000812,0.000812
47,1347.18,0.68669,0.99567,0.49131,0.93666,0.86332,0.83423,0.903,0.7303,0.86812,0.83599,0.90967,0.62746,0.58082,0.39283,0.6241,0.93269,0.0007856,0.0007856,0.0007856
48,1617.48,0.68263,1.00031,0.49189,0.93461,0.8585,0.83164,0.8958,0.71622,0.86116,0.83454,0.9018,0.61889,0.57623,0.38498,0.64454,0.92999,0.0007592,0.0007592,0.0007592
49,1888.73,0.6786,0.97842,0.48866,0.93404,0.85223,0.82583,0.89587,0.72315,0.86197,0.83387,0.90605,0.62302,0.58168,0.38262,0.62074,0.93176,0.0007328,0.0007328,0.0007328
50,2158.17,0.66372,0.97123,0.48616,0.92748,0.86109,0.82874,0.90473,0.72391,0.87368,0.82874,0.90901,0.62071,0.5937,0.39263,0.60931,0.95979,0.0007064,0.0007064,0.0007064
51,2426.54,0.67231,0.97017,0.48464,0.93054,0.8623,0.84524,0.91127,0.73562,0.86674,0.84959,0.9193,0.632,0.58494,0.38786,0.59539,0.95139,0.00068,0.00068,0.00068
52,2698.4,0.66667,0.96251,0.48162,0.92683,0.85891,0.83454,0.90554,0.72727,0.86539,0.8398,0.91215,0.61881,0.59113,0.39688,0.61817,0.95076,0.0006536,0.0006536,0.0006536
53,2964.08,0.66068,0.95289,0.47386,0.92743,0.8362,0.84325,0.9067,0.73328,0.84273,0.84769,0.91286,0.63153,0.57467,0.39221,0.60017,0.93674,0.0006272,0.0006272,0.0006272
54,3227.87,0.65207,0.94452,0.46617,0.92283,0.83602,0.86067,0.91138,0.73355,0.86321,0.83344,0.91595,0.62335,0.58285,0.38373,0.59336,0.95172,0.0006008,0.0006008,0.0006008
55,4181.73,0.64778,0.93907,0.46213,0.92271,0.86423,0.84992,0.91103,0.73358,0.87576,0.8447,0.91749,0.63041,0.59838,0.39716,0.58707,0.95788,0.0005744,0.0005744,0.0005744
56,4517.42,0.64542,0.93832,0.46074,0.91697,0.86704,0.83164,0.90764,0.73376,0.87309,0.83745,0.91197,0.62915,0.57062,0.3979,0.58696,0.93765,0.000548,0.000548,0.000548
57,4863.13,0.64396,0.93843,0.46213,0.91874,0.86141,0.82148,0.90517,0.72983,0.86848,0.82293,0.90908,0.62443,0.57093,0.39374,0.59248,0.94014,0.0005216,0.0005216,0.0005216
58,5197.76,0.63624,0.92522,0.45283,0.91771,0.86287,0.83454,0.90949,0.73884,0.86782,0.8389,0.91465,0.63089,0.56891,0.38857,0.58271,0.943,0.0004952,0.0004952,0.0004952
59,5537.43,0.63489,0.91921,0.45085,0.91558,0.85164,0.84981,0.90325,0.74089,0.86525,0.84615,0.90966,0.63302,0.56217,0.38894,0.58025,0.92699,0.0004688,0.0004688,0.0004688
60,5870.55,0.63105,0.9104,0.45269,0.91479,0.85976,0.83639,0.9084,0.73696,0.85823,0.84035,0.91164,0.6307,0.56922,0.39034,0.58233,0.93306,0.0004424,0.0004424,0.0004424
61,54578.7,0.62513,0.91703,0.44645,0.91275,0.87718,0.80851,0.9077,0.74405,0.89094,0.81858,0.91812,0.63674,0.56894,0.38259,0.5728,0.93867,0.000416,0.000416,0.000416
62,54903.4,0.62069,0.899,0.44163,0.91224,0.8677,0.81858,0.90897,0.74267,0.8767,0.82729,0.91577,0.63677,0.55991,0.38495,0.5688,0.93333,0.0003896,0.0003896,0.0003896
63,55189.3,0.62157,0.90475,0.44013,0.90964,0.87492,0.83247,0.90915,0.73972,0.86329,0.8447,0.91605,0.63679,0.5597,0.38844,0.57624,0.9315,0.0003632,0.0003632,0.0003632
64,55485.1,0.60752,0.88987,0.4319,0.90503,0.86163,0.84048,0.91298,0.74012,0.87442,0.84325,0.92012,0.64013,0.56492,0.39105,0.56347,0.93954,0.0003368,0.0003368,0.0003368
65,55784.5,0.61047,0.8901,0.43133,0.90638,0.8524,0.84615,0.90707,0.73557,0.85847,0.85051,0.91286,0.6356,0.57472,0.37994,0.58608,0.94596,0.0003104,0.0003104,0.0003104
66,56168.4,0.59165,0.81423,0.40757,0.90978,0.84733,0.84325,0.91007,0.74039,0.84907,0.84914,0.91697,0.63143,0.56896,0.38214,0.57702,0.94309,0.000284,0.000284,0.000284
67,56497.2,0.57823,0.79298,0.39709,0.90384,0.86574,0.83599,0.91383,0.74178,0.86821,0.8389,0.92115,0.63802,0.5638,0.37448,0.57625,0.94289,0.0002576,0.0002576,0.0002576
68,56801.5,0.57438,0.78439,0.39088,0.90592,0.87004,0.83164,0.9128,0.74889,0.87308,0.83454,0.91914,0.63847,0.56079,0.38108,0.56571,0.93988,0.0002312,0.0002312,0.0002312
69,57106.4,0.56682,0.77363,0.38797,0.8988,0.86153,0.84885,0.90896,0.745,0.86293,0.84976,0.91402,0.63301,0.56437,0.38946,0.58618,0.93582,0.0002048,0.0002048,0.0002048
70,249.738,0.58924,0.85102,0.41515,0.90346,0.86563,0.84148,0.91358,0.74569,0.87001,0.84509,0.92301,0.64227,0.57793,0.38595,0.57675,0.9574,0.0001784,0.0001784,0.0001784
71,506.169,0.58041,0.8422,0.40454,0.89889,0.8641,0.83057,0.91209,0.74323,0.86712,0.83347,0.91928,0.63857,0.56528,0.39148,0.58343,0.93586,0.000152,0.000152,0.000152
72,781.877,0.57727,0.83585,0.40363,0.8961,0.86008,0.84035,0.91138,0.74356,0.86532,0.83924,0.91663,0.64292,0.55837,0.3841,0.57453,0.93141,0.0001256,0.0001256,0.0001256
73,1065.91,0.56952,0.83338,0.39905,0.89497,0.8516,0.84955,0.91125,0.74594,0.87477,0.83136,0.91889,0.6431,0.55672,0.38585,0.56418,0.93124,9.92e-05,9.92e-05,9.92e-05
74,1346.11,0.56902,0.82642,0.39309,0.89437,0.8444,0.85853,0.91222,0.74558,0.85513,0.84811,0.91833,0.64139,0.55824,0.3838,0.57623,0.93454,7.28e-05,7.28e-05,7.28e-05
75,1635.46,0.5648,0.83212,0.39458,0.89295,0.84068,0.85196,0.91146,0.74599,0.86347,0.8353,0.91722,0.64243,0.55588,0.38265,0.57442,0.92866,4.64e-05,4.64e-05,4.64e-05
